,album,artist,rank,title
0,MAP OF THE SOUL : PERSONA,방탄소년단,1,작은 것들을 위한 시 (Boy With Luv) feat. Halsey
1,전설,잔나비,2,주저하는 연인들을 위해
2,FANCY YOU,TWICE (트와이스),3,FANCY
3,사춘기집Ⅰ 꽃기운,볼빨간사춘기,4,"나만, 봄"
4,사계 (Four Seasons),태연 (TAEYEON),5,사계 (Four Seasons)
5,KILL THIS LOVE,BLACKPINK,6,Kill This Love
6,장범준 3집,장범준,7,노래방에서
7,MAP OF THE SOUL : PERSONA,방탄소년단,8,소우주 (Mikrokosmos)
8,MAP OF THE SOUL : PERSONA,방탄소년단,9,Make It Right
9,"사월, 그리고 꽃 - The 1st Mini Album",첸 (CHEN),10,사월이 지나면 우리 헤어져요 (Beautiful goodbye)
10,사춘기집Ⅰ 꽃기운,볼빨간사춘기,11,별 보러 갈래?
11,그때가 좋았어,케이시 (Kassy),12,그때가 좋았어
12,MAP OF THE SOUL : PERSONA,방탄소년단,13,Dionysus
13,장범준 3집,장범준,14,당신과는 천천히
14,MAP OF THE SOUL : PERSONA,방탄소년단,15,HOME
15,FLY HIGH PROJECT #2 `옥탑방`,엔플라잉 (N.Flying),16,옥탑방 (Rooftop)
16,Speak Your Mind (Deluxe),Anne-Marie,17,2002
17,IT`z Different,ITZY (있지),18,달라달라
18,사랑에 연습이 있었다면,임재현,19,사랑에 연습이 있었다면 (Prod. 2soo)
19,MAP OF THE SOUL : PERSONA,방탄소년단,20,Jamais Vu
20,YOU NEVER WALK ALONE,방탄소년단,21,봄날
21,LOVE YOURSELF 結 `Answer`,방탄소년단,22,IDOL
22,MAP OF THE SOUL : PERSONA,방탄소년단,23,Intro : Persona
23,TMI,GRAY (그레이),24,TMI
24,MONKEY HOTEL,잔나비,25,뜨거운 여름밤은 가고 남은 건 볼품없지만
25,Our love is great,백예린,26,그건 아마 우리의 잘못은 아닐 거야
26,봉춤을 추네,잔나비,27,사랑하긴 했었나요 스쳐가는 인연이었나요 짧지않은 우리 함께했던 시간들이 자꾸 내 마음을 가둬두네
27,White Wind,마마무(Mamamoo),28,고고베베 (gogobebe)
28,Circular,엠씨더맥스,29,사계 (하루살이)
29,`키스 먼저 할까요?` OST Part.3,폴킴,30,"모든 날, 모든 순간 (Every day, Every Moment)"
30,진심이 담긴 노래 (True Song),케이시 (Kassy),31,진심이 담긴 노래 (True Song)
31,Spring,박봄,32,봄 (feat. 산다라박)
32,Circular,엠씨더맥스,33,넘쳐흘러
33,sleepless in __________,에픽하이 (EPIK HIGH),34,술이 달다 (Feat. Crush)
34,HEART*IZ,IZ*ONE (아이즈원),35,비올레타
35,같이 걸어요 (Duet. 10cm),정은지,36,같이 걸어요 (Duet. 10cm)
36,너를 만나,폴킴,37,너를 만나
37,벌써 12시,청하,38,벌써 12시
38,이 노래가 클럽에서 나온다면,우디 (Woody),39,이 노래가 클럽에서 나온다면
39,멍청이(twit),화사(Hwa Sa),40,멍청이(twit)
40,skepticism,양다일,41,이 밤
41,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",Billie Eilish (빌리 아일리시),42,bad guy
42,신용재,하은,43,신용재
43,고등래퍼3 팀대항전 Part 1,강현준 (Lil tachi),44,눈 (Prod. 기리보이)
44,신청곡 (Feat. SUGA of BTS),이소라,45,신청곡 (Feat. SUGA of BTS)
45,초록빛,폴킴,46,초록빛
46,Take,숀 (SHAUN),47,Way Back Home
47,YES or YES,TWICE (트와이스),48,YES or YES
48,고등래퍼3 Final,이영지,49,"GO HIGH (Feat. 우원재, 창모 (CHANGMO), The Quiett) (Prod. CODE KUNST)"
49,LOVE SHOT - The 5th Album Repackage,EXO,50,Love Shot
50,180˚,벤,51,180도
51,She,잔나비,52,She (Hidden Track No.V 1월 선정곡)
52,너도 그냥 날 놓아주면 돼,윤건,53,너도 그냥 날 놓아주면 돼
53,She`s Fine,헤이즈 (Heize),54,SHE`S FINE
54,Dingo X Indigo Music,Jvcki Wai,55,띵 (Prod. By 기리보이)
55,I met you when I was 18. (the playlist),Lauv,56,Paris In The Rain
56,The 6th Mini Album ‘Happily Ever After’,뉴이스트,57,BET BET
57,이별하러 가는 길,임한별,58,이별하러 가는 길
58,KILL THIS LOVE,BLACKPINK,59,Don`t Know What To Do
59,7 rings,Ariana Grande,60,7 rings
60,SOLO,제니 (JENNIE),61,SOLO
61,여자친구,하은요셉,62,여자친구
62,뷰티 인사이드 OST Part.4,케이윌,63,내 생에 아름다운
63,"thank u, next",Ariana Grande,64,"thank u, next"
64,4.3,10cm,65,그러나
65,고백,양다일,66,고백
66,있어줄래,길구봉구,67,있어줄래
67,비,폴킴,68,비
68,DON`T MESS UP MY TEMPO - The 5th Album,EXO,69,Tempo
69,사춘기집Ⅰ 꽃기운,볼빨간사춘기,70,Mermaid
70,About You,닐로 (Nilo),71,지나오다
71,별,노을,72,너는 어땠을까
72,삐삐,아이유,73,삐삐
73,흔한 이별,허각,74,흔한 이별
74,XX,MINO (송민호),75,아낙네
75,"사월, 그리고 꽃 - The 1st Mini Album",첸 (CHEN),76,꽃 (Flower)
76,RECIPE,벤,77,열애중
77,가을 타나 봐,바이브,78,가을 타나 봐
78,Single ‘Universe’,민현 (뉴이스트),79,Universe (별의 언어)
79,밤편지,아이유,80,밤편지
80,HOUR MOMENT,비투비,81,아름답고도 아프구나
81,하루도 그대를 사랑하지 않은 적이 없었다,임창정,82,하루도 그대를 사랑하지 않은 적이 없었다
82,쇼미더머니 777 Episode 1,pH-1,83,Good Day (Feat. 팔로알토) (Prod. 코드 쿤스트)
83,MILLIONS,WINNER,84,MILLIONS
84,Brother Act.,비투비,85,그리워하다
85,"안녕, 나의 우주",정승환,86,우주선
86,혼자,거미,87,혼자
87,THIS IS US,비투비,88,너 없인 안 된다
88,29,닐로 (Nilo),89,"미운 날 (The day, I hate myself)"
89,이별날씨,피아노맨,90,이별날씨
90,고등래퍼3 Final,김민규 (Young Kay),91,HERE (Feat. 빈첸 (VINXEN)) (Prod. CODE KUNST)
91,"사월, 그리고 꽃 - The 1st Mini Album",첸 (CHEN),92,하고 싶던 말 (Sorry not sorry)
92,The 6th Mini Album ‘Happily Ever After’,뉴이스트,93,Segno
93,"사월, 그리고 꽃 - The 1st Mini Album",첸 (CHEN),94,사랑의 말 (Love words)
94,"summer,",Jeremy Zucker,95,comethru
95,COLOR*IZ,IZ*ONE (아이즈원),96,라비앙로즈 (La Vie en Rose)
96,봄 여름 가을 겨울 (SSFW) - SM STATION,찬열 (CHANYEOL),97,봄 여름 가을 겨울 (SSFW)
97,"사월, 그리고 꽃 - The 1st Mini Album",첸 (CHEN),98,먼저 가 있을게 (I`ll be there)
98,Our love is great,백예린,99,야간비행 (魔女の花)
99,로맨스는 별책부록 OST Part.1,잔나비,100,나는 볼 수 없던 이야기
